time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-27 03:20:00,4678.83,4680.33,4677.67,4678.97,1448,4,0,1448
2026-04-27 03:25:00,4679.31,4682.21,4677.78,4680.82,1147,4,0,1147
2026-04-27 03:30:00,4680.82,4681.54,4677.25,4678.15,1116,4,0,1116
2026-04-27 03:35:00,4678.16,4679.39,4676.77,4679.23,1133,4,0,1133
2026-04-27 03:40:00,4679.24,4680.93,4678.07,4680.55,784,4,0,784
2026-04-27 03:45:00,4680.55,4683.05,4680.55,4682.44,1043,4,0,1043
2026-04-27 03:50:00,4682.47,4688.91,4682.39,4688.5,1257,4,0,1257
2026-04-27 03:55:00,4688.5,4698.2,4688.5,4697.77,1797,4,0,1797
2026-04-27 04:00:00,4697.78,4709.69,4694.7,4708.0,3122,4,0,3122
2026-04-27 04:05:00,4708.0,4708.77,4696.98,4698.22,2288,4,0,2288
2026-04-27 04:10:00,4698.28,4702.4,4692.17,4692.8,1989,4,0,1989
2026-04-27 04:15:00,4692.8,4696.56,4690.81,4695.84,2207,4,0,2207
2026-04-27 04:20:00,4695.84,4698.73,4694.45,4696.93,1873,4,0,1873
2026-04-27 04:25:00,4696.93,4698.08,4692.79,4698.02,2090,4,0,2090
2026-04-27 04:30:00,4698.04,4700.88,4695.69,4697.46,1932,4,0,1932
2026-04-27 04:35:00,4697.46,4699.9,4696.32,4699.82,1769,4,0,1769
2026-04-27 04:40:00,4699.82,4700.43,4696.75,4697.9,1710,4,0,1710
2026-04-27 04:45:00,4697.9,4701.85,4697.73,4701.66,1606,4,0,1606
2026-04-27 04:50:00,4701.66,4706.47,4701.4,4702.85,1720,4,0,1720
2026-04-27 04:55:00,4702.82,4704.35,4699.99,4702.74,1612,4,0,1612
2026-04-27 05:00:00,4702.74,4706.78,4700.85,4702.21,1660,4,0,1660
2026-04-27 05:05:00,4702.21,4702.26,4696.59,4698.58,1609,4,0,1609
2026-04-27 05:10:00,4698.55,4700.27,4696.24,4699.62,1455,4,0,1455
2026-04-27 05:15:00,4699.61,4708.26,4698.94,4705.26,1407,4,0,1407
2026-04-27 05:20:00,4705.26,4707.26,4704.34,4705.38,1116,4,0,1116
2026-04-27 05:25:00,4705.38,4706.8,4704.92,4705.74,950,4,0,950
2026-04-27 05:30:00,4705.74,4707.66,4704.43,4705.63,1559,4,0,1559
2026-04-27 05:35:00,4705.63,4714.56,4705.6,4712.25,1634,4,0,1634
2026-04-27 05:40:00,4712.25,4714.16,4710.93,4713.44,1408,4,0,1408
2026-04-27 05:45:00,4713.5,4719.22,4712.16,4718.6,1619,4,0,1619
